title,artist,estimated_year,spotify_track_id,isrc
We No Speak Americano,"Yolanda Be Cool, DCup",2020,0CJ1quCQhVX9Ax2jYwwovA,AUCN30901316
Oye Como Va,Santana,1970,5u6y4u5EgDv0peILf60H5t,USSM17000293
I'm So Excited,The Pointer Sisters,1982,1ot6jEe4w4hYnsOPjd3xKQ,USRC18203285
Hold the Line,TOTO,1978,4aVuWgvD0X63hcOCnZtNFA,USSM17800444
That's the Way (I Like It) - 2004 Remaster,KC & The Sunshine Band,1975,3PR79C1jVvLLLmgdyHkXl3,GBAYE0400454
Paris Latino - Original Version 1983,Bandolero,2011,3LCup59DMpM3r6fwQsZMYs,FR1OI8300160
Always There - Edit,"Incognito, Jocelyn Brown",2001,6BxLhB782dObX1y4kDJDIU,GBF080201412
I Like Chopin,Gazebo,1994,2FHnN5ELL83TGbtXMDzoiJ,ITJ569400001
Gimme Hope Jo'Anna,Eddy Grant,2010,09lZ2Mx2NSpzy6KBpX2kDq,GBQRF0846342
Arranca (feat. Omega),"Becky G, Omega",2023,6IdcyYfBz9LG3SWIKVyNgh,USRC12300209
Zehn kleine Jägermeister,Die Toten Hosen,2011,4wNsh8RqG6bvwuUNaX18pT,DEF241112444
Two Princes,Spin Doctors,1991,4ePP9So5xRzspjLFVVbj90,USSM19000350
Maniac,Michael Sembello,1983,0QKfiqpEU4h9ycPSzIFwYe,USPR38302462
Me Gustas Tu,Manu Chao,2001,6b37xrsNCWYIUphFBazqD6,FR84R0000004
Let It Be - Remastered 2009,The Beatles,1970,7iN1s7xHE4ifF5povM6A48,GBAYE0601713
The Pretender,Foo Fighters,2007,7x8dCjCr0x6x2lXKujYD34,USRW30700007
Saturday Night,Bay City Rollers,1993,78zYiMv9yNTHgmm6kaUPCm,USAR17500148
Played-A-Live (The Bongo Song),Safri Duo,2001,7uuo02BIR76qZ6ZXQhz7Ys,DKBKA0100501
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,Crystal Waters,2007,4UJ1AKSbXAbPlPVFe66wK7,USPR39102713
Hot N Cold,Katy Perry,2008,0iGckQFyv6svOfAbAY9aWJ,USCA20802544
"See You Later, Alligator",Bill Haley & His Comets,1959,05eNEozACh10Rn0ewFnH8Y,USMC15588995
Wildberry Lillet,Nina Chuba,2022,6yeZM8gyykjaf8w0GqRfK4,DEE862201008
Get Lucky (Radio Edit) [feat. Pharrell Williams and Nile Rodgers],"Daft Punk, Pharrell Williams, Nile Rodgers",2013,2Foc5Q5nqNiosCNqttzHof,USQX91300809
Bon bon vie - Gimme the Good Life,T.S. Monk,1980,7ovnSuNF7xp348DXh7Ns5u,CAU111122152
Listen to the Music,The Doobie Brothers,1972,7Ar4G7Ci11gpt6sfH9Cgz5,USWB10000626
SexyBack (feat. Timbaland),"Justin Timberlake, Timbaland",2006,0O45fw2L5vsWpdsOdXwNAR,USJI10600269
"5, 6, 7, 8",Steps,1998,3oWZwdnnwsCwMukQbPsEiy,GBAHK9700239
Let Me Love You,"DJ Snake, Justin Bieber",2016,0lYBSQXN6rCTvUZvg9S0lU,QMZSY1600015
My Heart Goes Boom,French Affair,2010,0pENfDf4UtQF2q2A4xSi27,DEX051000112
New Rules,Dua Lipa,2017,2ekn2ttSfGqwhhate0LSR0,GBAHT1600310
Ich bin wie du,Marianne Rosenberg,1988,5ZIwhaTKGjxXMfvKO9EVXU,DEC737500008
Freedom Blues,Little Richard,2005,7bS22zfBXeHXrzyaIqmhKG,USRE10201334
Walking Into Sunshine - Edit,Central Line,1981,5r2OXBrMdXIBk3BQemVUGJ,GBF088100893
Funkin' for Jamaica,Tom Browne,1997,0xbkxTqSaW5blsYgRXpB5I,USAR18000123
Sunny Days,"Armin van Buuren, Josh Cumbee",2017,6RrUUleT9JI0KQHZYBdJMB,NLF711705042
On Top Of The World,Imagine Dragons,2012,6KuHjfXHkfnIjdmcIvt9r0,USUM71201073
Don't Stop Movin',S Club,2001,4dzreTCcGVgeF1vCcd22AC,GBCVL0100001
Window Of Hope,Oleta Adams,1993,7IyXO4OsPqqmB0v1ebT9Ok,GBF089390034
