title,artist,csv_year,mb_year,mb_year_source,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,final_year
Alors on danse - Radio Edit,Stromae,2010,2009,musicbrainz,1,2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit,Stromae,playlist_import,,FRUM70902424,true,2009
Lessons In Love,Level 42,1987,1986,musicbrainz,1,3EGI5qmVmGlfgy9BmNb1R8,Lessons In Love,Level 42,playlist_import,,GBAKW8601003,true,1986
Happy Together,The Turtles,1967,1966,musicbrainz,1,1JO1xLtVc8mWhIoE3YaCL0,Happy Together,The Turtles,playlist_import,,USA560587940,true,1966
La Bamba - Single Version,Ritchie Valens,1959,1958,musicbrainz,1,2aEeghgUcnu75tzcolFMfs,La Bamba - Single Version,Ritchie Valens,playlist_import,,USRH10402003,true,1958
Balada,Gusttavo Lima,2012,2011,musicbrainz,1,6d63QA85w4FXhlXYtz7nco,Balada,Gusttavo Lima,playlist_import,,USA561215539,true,2011
The Shoop Shoop Song (It's In His Kiss),Cher,1991,1990,musicbrainz,1,5oV1YjM2rtyZ55txHHsFUu,The Shoop Shoop Song (It's In His Kiss),Cher,playlist_import,,USGF19031001,true,1990
Samba de Janeiro - Radio Edit,Bellini,1997,1996,musicbrainz,1,4YopUHLBgDj3l17HYm2OoX,Samba de Janeiro - Radio Edit,Bellini,playlist_import,,DEG129700451,true,1996
So Am I,Ava Max,2020,2019,musicbrainz,1,2Xnv3GntqbBH1juvUYSpHG,So Am I,Ava Max,playlist_import,,USAT21900569,true,2019
It's My Life,Dr. Alban,1992,1991,musicbrainz,1,4539Tbm6Rt5BaNKXJJj9RH,It's My Life,Dr. Alban,playlist_import,,DEA819200287,true,1991
The Rhythm of the Night,Corona,1994,1993,musicbrainz,1,0ofMkI3jzmGCElAOgOLeo3,The Rhythm of the Night,Corona,playlist_import,,ITA199800041,true,1993
Seasons in the Sun,Terry Jacks,1974,1973,musicbrainz,1,7pGMRy91RcQT9oHdPgYz3A,Seasons in the Sun,Terry Jacks,playlist_import,,USAR17400171,true,1973
Tacata,Tacabro,2013,2012,musicbrainz,1,6EhPXpRYkwGwg8lx3XiGTI,Tacata,Tacabro,playlist_import,,ITV951100211,true,2012
Nevermind,Dennis Lloyd,2017,2016,musicbrainz,1,63SevszngYpZOwf63o61K4,Nevermind,Dennis Lloyd,playlist_import,,USHM91642610,true,2016
Cake By The Ocean,DNCE,2016,2015,musicbrainz,1,76hfruVvmfQbw0eYn1nmeC,Cake By The Ocean,DNCE,playlist_import,,USUM71514637,true,2015
Ab in den Süden - Neuaufnahme,Buddy,2014,2015,musicbrainz,1,2XQ00wanrsQOL9djhTQEEY,Ab in den Süden - Neuaufnahme,Buddy,playlist_import,,DEZ921300172,true,2015
Stole the Show,"Kygo, Parson James",2016,2015,musicbrainz,1,5masKPHeAOVNgxdLebIcK7,Stole the Show,"Kygo, Parson James",playlist_import,,SEBGA1500071,true,2015
In My Mind,"Dynoro, Gigi D'Agostino",2018,2017,musicbrainz,1,0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,"Dynoro, Gigi D'Agostino",playlist_import,,QZ22B1859046,true,2017
La Camisa Negra,Juanes,2005,2004,musicbrainz,1,0sUWZTmLTZj21G6dmlsJlj,La Camisa Negra,Juanes,playlist_import,,USUL10400965,true,2004
Call Me Maybe,Carly Rae Jepsen,2012,2011,musicbrainz,1,20I6sIOMTCkB6w7ryavxtO,Call Me Maybe,Carly Rae Jepsen,playlist_import,,CAB391100615,true,2011
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"Eiffel 65, Gabry Ponte",1999,1998,musicbrainz,1,2yAVzRiEQooPEJ9SYx11L3,Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"Eiffel 65, Gabry Ponte",playlist_import,,ITT019810102,true,1998
Crazy,"Gnarls Barkley, CeeLo Green, Danger Mouse",2007,2006,musicbrainz,1,1vxw6aYJls2oq3gW0DujAo,Crazy,"Gnarls Barkley, CeeLo Green, Danger Mouse",playlist_import,,GBAHT0600202,true,2006
Aicha,Outlandish,2003,2002,musicbrainz,1,5g7rz8nma2gAaEBHlvT68N,Aicha,Outlandish,playlist_import,,DKADG0201504,true,2002
Looking for Freedom,David Hasselhoff,1989,1988,musicbrainz,1,1eMhNaN4a92qoidBbkQCmG,Looking for Freedom,David Hasselhoff,playlist_import,,DEC718900010,true,1988
