title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Summer Jam 2003 - DJ F.R.A.N.K's Summermix Short,The Underdog Project,2000,78Mqt7lWuaxVhN0ZptsuCY,DEN060401576,Summer Jam 2003,single,2000-09-22,231680,The Underdog Project,1,1
Flying Through the Air,Oliver Onions,1994,1PEZiGU255hLkwyn5CwHqj,DEH840501531,Bud Spencer / Terence Hill Greatest Hits,compilation,1994-10-17,172360,Oliver Onions,20,1
Wavin' Flag,K'NAAN,2009,20Vs0dtWsL7eZ87YAvubJj,USUM70951245,Troubadour (Champion Edition - Asian Version),album,2009,220520,K'NAAN,7,1
Could You Be Loved,Bob Marley & The Wailers,1980,5O4erNlJ74PIF6kGol1ZrC,USIR28000016,Uprising,album,1980-06-10,237000,Bob Marley & The Wailers,8,1
Take Me Tonight,Alexander Klaws,2003,2lWLGJ0C4vCi8EmNAvzzzm,DEC730300065,Take Your Chance,album,2003-04-28,242400,Alexander,1,1
United (feat. Marky Mark) - Radio Edit,"Prince Ital Joe, Marky Mark",1994,0f3cKxB4avKAHNgucJ6S9O,DEA619450270,Life In The Streets,album,1994-04-29,240893,Prince Ital Joe,2,1
Alors on danse - Radio Edit,Stromae,2010,2GYHyAoLWpkxLVa4oYTVko,FRUM70902424,Cheese,album,2010-01-01,206066,Stromae,5,1
Volare,Domenico Modugno,2020,71hIekopkrYCGgggsBOpVG,DETL61621179,Volare,album,2020-07-18,214853,Domenico Modugno,1,1
Faded Love,Leony,2021,0HzHUF33G1dPmd2eNULyfa,DEN062004998,Faded Love,single,2021-01-15,148345,Leony,1,1
La La La,"Naughty Boy, Sam Smith",2013,3wPPWcVuinAU7dXcJXtCID,GBAAA1300148,Hotel Cabana (Deluxe Version),album,2013-01-01,222200,Naughty Boy,7,1
Fresh,Kool & The Gang,1984,1mMYaXpT65iZDtvfRA9EkE,USUMG0000175,Emergency (Reissue),album,1984-11-15,266560,Kool & The Gang,2,1
Wann wird's mal wieder richtig Sommer,Rudi Carrell,2007,1JViGsU8CVY7j0o4coomDA,DEF457500504,Das Beste von Rudi Carrell,album,2007,263000,Rudi Carrell,8,1
Helden 2008,Revolverheld,2008,4iyshfXSQnB0yhQr4Uoyqp,DEA810800202,Helden 2008,single,2008-05-23,181933,Revolverheld,1,1
Ratzfatz nach Mallorca,Ibo,2017,6G2lRHL7CJjHEaf6AGK9Q5,DEA760003101,Lieblingsschlager,album,2017-01-27,196000,Ibo,19,1
Sofia,Alvaro Soler,2016,5vj59ONIVbyhcrI8ZSwoRo,DEUM71601055,Eterno Agosto,album,2016-07-15,210466,Alvaro Soler,1,1
Cruisen,Massive Töne,2002,6e5kuZssmkwWL3Yt4jwTRy,DEA610200332,MT3,album,2002,235266,Massive Töne,2,1
This Girl (Kungs Vs. Cookin' On 3 Burners),"Kungs, Cookin' On 3 Burners",2016,1A8j067qyiNwQnZT0bzUpZ,FR9W11601798,Layers,album,2016-11-04,195546,Kungs,2,1
Baker Street,Gerry Rafferty,1978,5gOd6zDC8vhlYjqbQdJVWP,GBAYE7800619,City to City,album,1978,365626,Gerry Rafferty,2,1
Nutbush City Limits,Ike & Tina Turner,2008,06yREZ9X92R2e9RJpdzZ2O,USEM37300029,Tina!,compilation,2008-09-30,181533,Tina Turner,16,1
